video,Fragment,Left Ear,Left Elbow,Left Eye,Left Foot,Left Hand,Left Hip,Left Knee,Left Shoulder,Neck,Nose,Right Ear,Right Elbow,Right Eye,Right Foot,Right Hand,Right Hip,Right Knee,Right Shoulder,video,Forward_leaning,speed (km/h)
1,0,6.289891997672251,7.493533899482111,6.3929436009745135,9.136198241359134,11.682178321170642,7.574973159316477,8.689511728836877,5.5559961164448,5.556010436234566,6.76441921676552,2.8895577814408666,8.019520758846586,6.405504143428902,8.951468881867452,12.727717171087933,7.6896001340941895,8.483491665148044,5.681686733255994,"(1, 0)",74.4671253944963,20.160119391549248
1,1,4.784240451574586,6.025548812613042,4.350018471614473,8.223728353493975,7.946226861108346,4.459923287957395,7.900495243342451,5.946698286144818,5.711239349827489,4.866416076850687,4.051937738819845,7.25338651753082,4.716742407288948,8.681149130501911,11.96886399055283,5.023211286145559,8.047680183140242,5.829969903412095,"(1, 1)",77.98751298554036,18.87873270354857
1,2,7.849523911276847,7.36370129848547,8.60750181339439,6.18473789348466,11.39202577351664,6.581617690816303,7.190375532128842,6.1745264550690075,6.6956645301735955,8.00623398819596,2.4976996945808256,7.12989681759216,7.289576807656665,7.1161153509696025,10.853592895243798,6.534388101174725,6.928805915324748,6.4076516922741416,"(1, 2)",75.43740481592243,17.703610273097002
1,3,4.275952588098403,7.618962348529488,5.999515282309373,8.235873622817472,7.8659043542071965,4.406725594156107,7.538327601751025,5.669361017549819,5.490248201461655,5.770409997646313,5.159385606318485,6.067428400048632,5.552251285003686,9.654820794281106,11.341572932858389,5.011417297383959,7.684042575980758,5.430318387587506,"(1, 3)",79.01127583044882,18.55752708600922
2,0,5.737390165345491,6.945499862769152,6.490550232099105,7.572793134001084,11.310701162588119,6.7472303459226,7.083335745366684,5.666808087220446,5.767604393083032,6.687102353982505,4.0184798661031,7.28714580395426,4.907921129681257,5.8083179306423425,11.587454993972374,6.471238147479837,7.111640716504284,6.3991342751785885,"(2, 0)",76.38853960440174,20.225631136823043
2,1,5.145397497698007,5.925504170893351,4.876867214178578,7.770539473896793,9.811100190174335,4.91889121766904,7.839354829716633,7.06605074217306,6.902473705200845,4.893488604389555,5.047223570158008,7.479512891161876,4.844404066800718,6.621545934498012,11.091656651387368,5.370683099969715,7.35440679211604,6.7827647377406945,"(2, 1)",78.66122647809239,19.08804802926231
2,2,6.852905693468765,6.32629680157565,7.942545632127015,6.180918600631592,8.753209799317144,5.451037711374232,6.304943415144343,5.818911860048379,6.557308913128592,7.564123188470298,4.174627659421301,7.335895522985536,6.81104556207559,5.552299810740881,10.706128290120654,5.9708216552418545,5.694342007481805,6.8748039303979125,"(2, 2)",78.53105402600775,18.11389047766502
2,3,4.6316646067063605,6.334989353269342,4.730601152436988,7.480660324188406,7.240798289725307,4.9839882921732634,7.838319932031298,5.0109046127217365,5.002703404744673,4.830977010521696,4.438033349026722,6.183022826667084,4.6776157054402026,7.269800225292665,11.350408633064644,5.192463341824534,6.893751391933377,4.742005352862143,"(2, 3)",76.95411796866667,18.007445048997223
3,0,5.806952196526288,8.028185062280667,6.602172881058638,7.761069586211213,12.78362106945968,7.3310327534087625,7.898323392188525,6.418574894406594,6.552000562836343,6.364577026399067,7.0637973880617295,7.655564438533799,7.11568240298552,7.0477795302532655,9.33691946323203,7.549844592632559,7.221164817583004,6.147699841351142,"(3, 0)",75.34874062785518,18.64163581631718
3,1,8.079980654410063,8.230150055361856,9.07698886342411,5.803177195132868,11.007012946868064,7.524072293078757,5.845216361664431,5.751405978112116,5.658797522830988,9.807874981390613,9.604218890765729,7.431473039834052,10.723903519420752,6.734376902455748,14.087361535818287,7.668877541506961,6.446978320575134,5.507221224269007,"(3, 1)",72.82931124279283,21.02477204803129
