;Left Ear;Left Elbow;Left Eye;Left Foot;Left Hand;Left Hip;Left Knee;Left Shoulder;Neck;Nose;Right Ear;Right Elbow;Right Eye;Right Foot;Right Hand;Right Hip;Right Knee;Right Shoulder;source;Forward_leaning;speed (km/h)
0;0.045673064;0.05125409;0.047478854;0.058581;0.089916878;0.05319725;0.06073572;0.041509282;0.041928519;0.048009572;0.030796936;0.054794538;0.050967229;0.064222288;0.090145373;0.053422616;0.059800066;0.043506747;20180404_182019;72.79768929;19.62141069
1;0.042413719;0.04831159;0.037900003;0.061984917;0.063025627;0.039417937;0.066117126;0.051565582;0.050757032;0.04719496;0.040391772;0.057654433;0.046419072;0.067735655;0.096607272;0.040361531;0.064979555;0.048975877;20180404_182019;79.39595206;20.23930448
2;0.065222109;0.057219283;0.074283439;0.050481589;0.091929492;0.048590015;0.047967954;0.04768001;0.051337612;0.066861891;0.035578229;0.053788159;0.074402679;0.05628961;0.084482288;0.049884253;0.047578421;0.049439778;20180404_182019;79.23348097;17.7101303
3;0.03811905;0.062001631;0.054378437;0.06380332;0.077160663;0.03887315;0.052516927;0.047832753;0.047737013;0.05748099;0.05254823;0.050101995;0.056458373;0.072888046;0.091108265;0.038627665;0.052786985;0.046676507;20180404_182019;86.09313392;18.72936387
4;0.04926707;0.052231533;0.051954451;0.048854174;0.090580764;0.056537304;0.056944473;0.033866502;0.034614209;0.054934418;0.032615862;0.057874654;0.035121703;0.045642422;0.080438781;0.052916183;0.05461366;0.041132503;20180404_182232;71.11215334;20.18094828
5;0.047857073;0.046576996;0.033453081;0.061882728;0.077106065;0.034451434;0.065119302;0.050953056;0.049049268;0.029267989;0.029682722;0.055668653;0.031766803;0.052054909;0.082466742;0.04098739;0.058911232;0.046791009;20180404_182232;77.79615136;19.40124041
6;0.061616933;0.052616616;0.065680581;0.046825871;0.06612155;0.050261194;0.054376013;0.049181172;0.054590476;0.063156262;0.032382527;0.064437324;0.053155319;0.04335345;0.088395413;0.053187305;0.047513358;0.052116554;20180404_182232;76.82014157;17.5876319
7;0.040979098;0.057761214;0.041513023;0.062664956;0.072350178;0.041546586;0.057099186;0.045656636;0.045758907;0.048259613;0.04201254;0.05249622;0.044533857;0.059825055;0.094317282;0.043535467;0.049352501;0.044539431;20180404_182232;84.17399555;18.51001368
8;0.04370018;0.059490768;0.043663378;0.062200717;0.107221618;0.060650932;0.065763431;0.039261256;0.040127423;0.048177723;0.061899209;0.065909708;0.042461887;0.063738104;0.07706381;0.06121844;0.065376081;0.043715527;20180404_182959;81.39210626;19.65939664
9;0.060848152;0.062062699;0.070834536;0.046028121;0.090253677;0.059940724;0.052279936;0.040199821;0.040224108;0.080751834;0.072361034;0.054553375;0.082721542;0.054651115;0.113820636;0.058851628;0.055098286;0.039839462;20180404_182959;75.37693631;21.19383753
10;0.075259598;0.077152724;0.092908434;0.049541256;0.091724722;0.059919063;0.062138491;0.072224321;0.07482132;0.099460294;0.106234544;0.081988012;0.079256721;0.053385118;0.092899586;0.060549163;0.058569569;0.071792423;20180404_182959;77.02303383;19.94937198
11;0.072528168;0.060145756;0.097832462;0.053557692;0.056468354;0.047530187;0.054350543;0.057515164;0.052437652;0.091301295;0.085315869;0.074255987;0.079396249;0.060408104;0.109499446;0.047163595;0.054558595;0.057208059;20180404_182959;70.31348827;19.78969498
12;0.052574538;0.051995579;0.059334803;0.076442759;0.078791414;0.057454118;0.069139008;0.045690845;0.047624568;0.060303438;0.059621777;0.059893253;0.057985594;0.080809553;0.077414697;0.059380561;0.069504645;0.044639393;20180404_183056;69.96412802;19.42221469
